Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhou, X., Cao, S., Sun, X., Lo, D.","57770923400;57222584216;24829988300;35269388000;","Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead",2025,"ACM Transactions on Software Engineering and Methodology","34","5","145","","",0,25,"10.1145/3708522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008775348&doi=10.1145%2f3708522&partnerID=40&md5=1b656bd8c226abbb5e3f2a7c1faa142f",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105008775348
"Robinson, D., Cabrera, C., Gordon, A.D., Lawrence, N.D., Mennen, L.","57474781300;57194575477;7402141419;9279186200;59165566500;","Requirements Are All You Need: The Final Frontier for End-User Software Engineering",2025,"ACM Transactions on Software Engineering and Methodology","34","5","141","","",0,7,"10.1145/3708524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008810119&doi=10.1145%2f3708524&partnerID=40&md5=fdc3e7a98e1c2770cff6f37757c75f5e",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105008810119
"Jackson, V., Vasilescu, B., Russo, D., Ralph, P., Prikladnicki, R., Izadi, M., D'Angelo, S., Inman, S., Andrade, A., Van Der Hoek, A.","57467443300;42062536300;57119027600;12239104000;13612977400;57212699639;58285429500;55913715200;59957961600;7004156271;","The Impact of Generative AI on Creativity in Software Development: A Research Agenda",2025,"ACM Transactions on Software Engineering and Methodology","34","5","133","","",0,4,"10.1145/3708523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008817694&doi=10.1145%2f3708523&partnerID=40&md5=0ec68721d29662dcee9f7f50af4e8505",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105008817694
"He, J., Treude, C., Lo, D.","57432691900;23135531900;35269388000;","LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",2025,"ACM Transactions on Software Engineering and Methodology","34","5","124","","",0,38,"10.1145/3712003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007498449&doi=10.1145%2f3712003&partnerID=40&md5=7d6de041ff2697674d3958ec406abb3a",Article,"Final","",Scopus,2-s2.0-105007498449
"Deng, Z., Guo, Y., Han, C., Ma, W., Xiong, J., Wen, S., Xiang, Y.","59174516000;59164691300;59205577300;57196052588;35753908700;37108669800;57114147900;","AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways",2025,"ACM Computing Surveys","57","7","182","","",0,65,"10.1145/3716628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000562068&doi=10.1145%2f3716628&partnerID=40&md5=399ee13048c998e32ddb620ff408571f",Article,"Final","",Scopus,2-s2.0-86000562068
"Getir Yaman, S., Ribeiro, P., Cavalcanti, A., Calinescu, R., Paterson, C., Townsend, B.","42961488200;58582125900;56265113000;6507842838;57188871679;57214235631;","Specification, validation and verification of social, legal, ethical, empathetic and cultural requirements for autonomous agents",2025,"Journal of Systems and Software","220",,"112229","","",0,4,"10.1016/j.jss.2024.112229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208655817&doi=10.1016%2fj.jss.2024.112229&partnerID=40&md5=b90deca0653fe710b0ee7594a6350b5c",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85208655817
"Liu, Y., Lo, S.K., Lu, Q., Zhu, L., Zhao, D., Xu, X., Harrer, S., Whittle, J.","57202010999;57219797348;56431802100;7404202229;56814028500;55706225900;24314589900;23006933800;","Agent design pattern catalogue: A collection of architectural patterns for foundation model based agents",2025,"Journal of Systems and Software","220",,"112278","","",0,12,"10.1016/j.jss.2024.112278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209237729&doi=10.1016%2fj.jss.2024.112278&partnerID=40&md5=33993a8f708303f2e5c0a8dfeef35af9",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85209237729
"Kapoor, S., Stroebl, B., Siegel, Z.S., Nadgir, N., Narayanan, A.","57203863908;59235054500;57222144767;58938567200;14034426100;","AI Agents That Matter",2025,"Transactions on Machine Learning Research","2025-May",,,"","",0,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008530567&partnerID=40&md5=5e7c6d723f1797109f8828db4031d8bd",Article,"Final","",Scopus,2-s2.0-105008530567
"Panyam, S., Gujar, P., Lin, H.-Y.","59261645900;59261464900;36546384600;","How AI Agents Are Transforming Software Engineering and the Future of Product Development",2025,"Computer","58","5",,"71","77",0,,"10.1109/MC.2024.3488378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026322739&doi=10.1109%2fMC.2024.3488378&partnerID=40&md5=7e9fdc9ccdb573296421b77dffc0e705",Article,"Final","",Scopus,2-s2.0-105026322739
"Lambiase, S., Catolino, G., Palomba, F., Ferrucci, F.","57219252610;57131181700;55321369000;7003406181;","Motivations, Challenges, Best Practices, and Benefits for Bots and Conversational Agents in Software Engineering: A Multivocal Literature Review",2024,"ACM Computing Surveys","57","4","93","","",0,3,"10.1145/3704806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214816282&doi=10.1145%2f3704806&partnerID=40&md5=fc9f7f4f5a6f1863163c4c78071570de",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85214816282
"Zhang, Z., Chen, C., Liu, B., Liao, C., Gong, Z., Yu, H., Li, J., Wang, R.","58315400800;58106092700;57204643589;57747061300;58664372100;55267096200;55924903000;57307350400;","Unifying the Perspectives of NLP and Software Engineering: A Survey on Language Models for Code",2024,"Transactions on Machine Learning Research","2024",,,"1","125",0,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000655240&partnerID=40&md5=74ff896f4ed0d5eb3c7533ab951c0f57",Article,"Final","",Scopus,2-s2.0-105000655240
