Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Leng, J., Wang, J., Zhou, L., Zhao, R., Chen, C., Zhang, D., Zheng, S., Liu, Q., Shen, W.","57188970257;60231327200;60006689200;55510553400;59049859300;57212579186;55971859300;57222998226;57605521100;","A review of multi-modal deep learning towards agentic smart manufacturing",2026,"Advanced Engineering Informatics","70",,"104117","","",0,,"10.1016/j.aei.2025.104117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024325114&doi=10.1016%2fj.aei.2025.104117&partnerID=40&md5=1e27999a4c46bf8a4fcc78001b10fced",Review,"Final","",Scopus,2-s2.0-105024325114
"Yin, Z., Li, J., Song, Y., Kong, L.","57204174724;60006661900;57219054613;60224019800;","Bridging the gap between LLMs and structured program vulnerability analysis: An agent reasoning approach with first-order logic modeling",2026,"Expert Systems with Applications","299",,"130105","","",0,,"10.1016/j.eswa.2025.130105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023828625&doi=10.1016%2fj.eswa.2025.130105&partnerID=40&md5=d4045df99a81fdfbd659fbd4d8141964",Article,"Final","",Scopus,2-s2.0-105023828625
"Karaduman, B., Tezel, B.T., Challenger, M.","57202966871;57170503100;55910368200;","FAIR: Fuzzy-BDI agents for intelligent reasoning on smart cyber-physical systems",2026,"Expert Systems with Applications","299",,"130047","","",0,,"10.1016/j.eswa.2025.130047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023683860&doi=10.1016%2fj.eswa.2025.130047&partnerID=40&md5=fbf4cc9f798fda4e193f047e9277cc1c",Article,"Final","",Scopus,2-s2.0-105023683860
"Bilenchi, I., Loconte, D., Scioscia, F., Ruta, M.","57193515238;57420240200;23036414100;13609738400;","Evaluating correctness, performance and energy footprint of semantic reasoners in mobile edge computing",2026,"Journal of Systems and Software","233",,"112696","","",0,,"10.1016/j.jss.2025.112696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022430978&doi=10.1016%2fj.jss.2025.112696&partnerID=40&md5=ef830b781e6a7d5326c506d60b7e9628",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105022430978
"Rigaki, M., Catania, C.A., García, S.","57200796111;36979424100;55712953900;","Building adaptative and transparent cyber agents with local language models",2026,"Expert Systems with Applications","299",,,"","",0,,"10.1016/j.eswa.2025.129987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020814407&doi=10.1016%2fj.eswa.2025.129987&partnerID=40&md5=d7fd926212150fc3fdcbb10d35f9be65",Article,"Final","",Scopus,2-s2.0-105020814407
"Ma, J., Zhou, Y., Su, L., Yang, H., He, L.","59233344900;59677450800;60199375800;60200319600;59305493400;","A domain-specific language model for engineering-scale geological reasoning and mineral exploration in the Qin-Hang belt",2026,"Engineering Applications of Artificial Intelligence","167",,"113651","","",0,,"10.1016/j.engappai.2025.113651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027238834&doi=10.1016%2fj.engappai.2025.113651&partnerID=40&md5=3e2a5e5611bbb34d14ac27a4acddfa24",Article,"Final","",Scopus,2-s2.0-105027238834
"Lin, H.-C.K., Lee, Y.-J., Tsao, H.-Y., Lin, M.-Z.","55738534900;58686382500;7101962114;59913476200;","Text content analysis techniques that marketing managers must know: a comprehensive literature review and practical applications",2026,"Expert Systems with Applications","299",,"129985","","",0,,"10.1016/j.eswa.2025.129985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023838466&doi=10.1016%2fj.eswa.2025.129985&partnerID=40&md5=8a9554ddb0fc20bed87c5b63ba26668d",Article,"Final","",Scopus,2-s2.0-105023838466
"Lu, Q., Zhao, D., Liu, Y., Zhang, H., Zhu, L., Xu, X., Shi, A., Tan, T., Kazman, R.","56431802100;56814028500;57202010999;59957087200;7404202229;55706225900;59957290100;59958157300;7004264219;","AgentArcEval: An architecture evaluation method for foundation model based agents",2026,"Journal of Systems and Software","232",,"112656","","",0,,"10.1016/j.jss.2025.112656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019080066&doi=10.1016%2fj.jss.2025.112656&partnerID=40&md5=d0c938c2d0a20cf8303ccf4cf1fbb0ab",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105019080066
"Yu, F., Li, X., Chang, Z., Fei, G., Ding, Y., Zhu, T., Zhai, X.","16680289800;60162483700;60162296300;35931987800;56389883500;9737124100;57193888459;","WebShell detection based on deep residual network",2026,"Empirical Software Engineering","31","1","2","","",0,,"10.1007/s10664-025-10723-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020242863&doi=10.1007%2fs10664-025-10723-0&partnerID=40&md5=394183bc446f77fd885b4acf8f73d0da",Article,"Final","",Scopus,2-s2.0-105020242863
"Lestingi, L., Bersani, M.M., Camilli, M., Mirandola, R., Rossi, M., Scandurra, P.","57219181705;35730853100;55320192900;56240209400;7403708768;55912922200;","Proactive self-adaptation and assurance of explainable Human–Machine Teaming",2026,"Journal of Systems and Software","232",,"112657","","",0,,"10.1016/j.jss.2025.112657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018914817&doi=10.1016%2fj.jss.2025.112657&partnerID=40&md5=9dcb6be4630d9c9385b7bcd6cde045f1",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105018914817
"Wardi, S., Mzid, R., Ziadi, T.","60172564700;37111197400;6507907677;","RLSPL: A software product line for streamlining reinforcement learning project development",2026,"Information and Software Technology","190",,,"","",0,,"10.1016/j.infsof.2025.107916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021017913&doi=10.1016%2fj.infsof.2025.107916&partnerID=40&md5=0964fc72f7395f667701b6dcecb19ce0",Article,"Final","",Scopus,2-s2.0-105021017913
"Xie, Z., Shen, S., Wang, Y., Qiao, C., Tang, B., Song, W.","57204198529;58682386700;59490801800;58683300400;55979068500;57203596999;","ROCO: Role-oriented communication for efficient multi-agent reinforcement learning",2026,"Expert Systems with Applications","297",,"129421","","",0,,"10.1016/j.eswa.2025.129421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014535585&doi=10.1016%2fj.eswa.2025.129421&partnerID=40&md5=27acec571511dbfbce9fdc01caf9a9f0",Article,"Final","",Scopus,2-s2.0-105014535585
